Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.api,TestContainerResourceDecrease,testResourceDecreaseContext,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.api,TestContainerResourceDecrease,testResourceDecreaseContextWithNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.api,TestContainerResourceIncreaseRequest,ContainerResourceIncreaseRequest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.api,TestContainerResourceIncreaseRequest,testResourceChangeContextWithNullField,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.api,TestApplicatonReport,testApplicationReport,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
hadoop,org.apache.hadoop.yarn.api,TestContainerResourceIncrease,testResourceIncreaseContext,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.api,TestContainerResourceIncrease,testResourceIncreaseContextWithNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.api,TestGetApplicationsRequest,testGetApplicationsRequest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
hadoop,org.apache.hadoop.yarn.conf,TestYarnConfiguration,testRMWebUrlSpecified,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.conf,TestYarnConfiguration,testGetSocketAddressForNMWithHA,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.conf,TestYarnConfiguration,testGetSocketAddr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
hadoop,org.apache.hadoop.yarn.conf,TestYarnConfiguration,testUpdateConnectAddr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
hadoop,org.apache.hadoop.yarn.conf,TestHAUtil,testGetRMServiceId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
hadoop,org.apache.hadoop.yarn.conf,TestHAUtil,testGetRMId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
