Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testRMAppRetireZeroSetting,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testStateStoreAppLimitLessThanMemoryAppLimit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testStateStoreAppLimitLargerThanMemoryAppLimit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestAppManager,testRMAppSubmit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMTokens,testDelegationToken,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMTokens,testDelegationToken,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMTokens,testShortCircuitRenewCancel,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMTokens,testShortCircuitRenewCancelWildcardAddress,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMTokens,testShortCircuitRenewCancelSameHostDifferentPort,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMTokens,testShortCircuitRenewCancelDifferentHostSamePort,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestClientRMTokens,testShortCircuitRenewCancelDifferentHostDifferentPort,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
