Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,run,Long Statement,The length of the statement "LOG.info("Application did finished unsuccessfully." + " YarnState=" + appState.toString() + "` FinalStatus="+ appStatus.toString());" is 132.,306
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Complex Method,Cyclomatic complexity of the method is 8,379
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Long Statement,The length of the statement "LOG.info("Got application report from ASM for" + "` appId=" + appId.getId() + "` appAttemptId="+ report.getCurrentApplicationAttemptId()+ "` clientToAMToken="+ report.getClientToAMToken()+ "` appDiagnostics="+ report.getDiagnostics()+ "` appMasterHost="+ report.getHost()+ "` appQueue="+ report.getQueue()+ "` appMasterRpcPort="+ report.getRpcPort()+ "` appStartTime="+ report.getStartTime()+ "` yarnAppState="+ report.getYarnApplicationState().toString()+ "` distributedFinalState="+ report.getFinalApplicationStatus().toString()+ "` appTrackingUrl="+ report.getTrackingUrl()+ "` appUser="+ report.getUser());" is 610.,379
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Long Statement,The length of the statement "LOG.warn("Waited " + timeToWaitMS / 1000 + " seconds after process completed for AppReport" + " to reach desired final state. Not waiting anymore." + "CurrentState = " + state + "` ExpectedStates = " + expectedFinalState.toString());" is 233.,379
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Long Statement,The length of the statement "throw new RuntimeException("Failed to receive final expected state" + " in ApplicationReport" + "` CurrentState=" + state + "` ExpectedStates="+ expectedFinalState.toString());" is 176.,379
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Magic Number,The method contains a magic number: 10000,379
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Magic Number,The method contains a magic number: 1000,379
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,monitorApplication,Magic Number,The method contains a magic number: 1000,379
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createFile,Long Parameter List,The method has 5 parameters. ,89
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createTarFile,Long Parameter List,The method has 5 parameters. ,129
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createTgzFile,Long Parameter List,The method has 5 parameters. ,157
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createJarFile,Long Parameter List,The method has 5 parameters. ,185
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,createZipFile,Long Parameter List,The method has 5 parameters. ,211
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadBadPublic,Magic Number,The method contains a magic number: 10000,237
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadBadPublic,Magic Number,The method contains a magic number: 512,237
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadBadPublic,Magic Number,The method contains a magic number: 1000,237
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 10000,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 10,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 10,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 512,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 512,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 2,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 1000,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownload,Magic Number,The method contains a magic number: 0755,288
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,downloadWithFileType,Complex Method,Cyclomatic complexity of the method is 10,362
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,downloadWithFileType,Magic Number,The method contains a magic number: 512,362
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,downloadWithFileType,Magic Number,The method contains a magic number: 512,362
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,downloadWithFileType,Magic Number,The method contains a magic number: 1000,362
