Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.api.records,QueueACL,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.api.records,ApplicationMaster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records,ApplicationStateData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records,FinalApplicationStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.api.records,ApplicationAccessType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.api.records,ApplicationAttemptStateData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.api.records,LocalResourceType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.api,ApplicationConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APPLICATION_MASTER_TOKEN_ENV_NAME; APPLICATION_CLIENT_SECRET_ENV_NAME; AM_CONTAINER_ID_ENV; AM_APP_ATTEMPT_ID_ENV; NM_HOST_ENV; NM_PORT_ENV; NM_HTTP_PORT_ENV; APP_SUBMIT_TIME_ENV; CONTAINER_TOKEN_FILE_ENV_NAME; LOCAL_DIR_ENV; APPLICATION_WEB_PROXY_BASE_ENV; LOG_DIR_EXPANSION_VAR; STDERR; STDOUT; variable
hadoop,org.apache.hadoop.yarn.api,ApplicationConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: APPLICATION_MASTER_TOKEN_ENV_NAME; APPLICATION_CLIENT_SECRET_ENV_NAME; AM_CONTAINER_ID_ENV; AM_APP_ATTEMPT_ID_ENV; NM_HOST_ENV; NM_PORT_ENV; NM_HTTP_PORT_ENV; APP_SUBMIT_TIME_ENV; CONTAINER_TOKEN_FILE_ENV_NAME; LOCAL_DIR_ENV; APPLICATION_WEB_PROXY_BASE_ENV; LOG_DIR_EXPANSION_VAR; STDERR; STDOUT; variable
hadoop,org.apache.hadoop.yarn.api,ApplicationConstants.Environment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: variable
